ID ,Folio,Illustration title,Textual elements,Initials ,Characters,Costume,Objects ,Landscape,Architecture,Other
36,26v,76,,Decorated initial beneath miniature,"11,2","Short doublet with hose and cap, long robe and cap",,"Grass ground and leafy bushes, tree, roses against trellis",Garden walls with tracery decoration,"Arched gilt frame around miniature, partial foliate border around columns of text"
37,27r,77,,Decorated initial beneath miniature,"11,108",,Flaming torch,Grass ground and leafy bushes,Garden walls with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
38,27v,81,,Decorated initial beneath miniature,"2,11","Long robe and cap on Bel Acueil, short doublet and hose on L'Amans",,"Grassy ground and leafy bushes, roses on trellis within wattle fence",Garden walls with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
39,28r,85,,Decorated initial beneath miniature,"11,58",Long robe and cap on Bel Acueil,,Grass ground and leafy bushes,"Garden walls with tracery decoration, open structure with tiled floor, windows, column","gilt frame around miniature, partial foliate border around columns of text"
40,28r,86,,Decorated initial beneath miniature,"54,58",Fitted gown and hood on Jalousie,,Grass ground and leafy bushes,Garden walls with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
41,28v,,,Decorated initial beneath miniature,"54,58",Gown with wimple and veil on Honte,,"Grass ground and leafy bushes, tree","Garden walls with arched entrance, buildings in the background beyond garden walls","Arched gilt frame around miniature, partial foliate border around columns of text"
42,29r,88,,Decorated initial beneath miniature,"54,89,26","Tunic, boots and hat on Dangier",,"Grass ground, tree, leafy bushes",Garden wall,"gilt frame around miniature, partial foliate border around columns of text"
43,30r,91,,Decorated initial beneath miniature,"58,castle builders",Fitted gown and hood,"Pulley and ropes, wooden platform, hod, chisel, stone blocks, wattle fence","Grass ground, leafy bushes, mote, roses against trellis","Tower, garden walls","Arched gilt frame around miniature, partial foliate border around columns of text"
44,30v,92,,Decorated initial beneath miniature,,,Wattle fence,"Roses against trellis, grass ground, leafy bushes, motes around tower and garden walls","Garden walls with arched entrance and drawbridge, tower","Arched gilt frame around miniature, partial foliate border around columns of text"
45,32r,95,,Decorated initial beneath miniature,60,Long robe and cap,"Bench, writing table",Hilly landscape with grass ground and trees seen through arched window,"Interior scene with tiled floor and paned windows, column"
46,33v,97,,Decorated initial beneath miniature,"96,2","Crown, wimple, veil, gown mantle ",Ladder,"Grass ground, trees","Garden walls with tracery decoration, tower","Arched gilt frame around miniature, partial foliate border around columns of text"
47,38r,98,"Labels for figures in the wheel: ""Regno""",Decorated initial beneath miniature,"44,male figures",Gown with decorated collar and cuffs n Fortune,"Canopied throne, blindfold",Rocky landscape,Buildings in the distance,Change of artist?
48,43v,103,,Decorated initial beneath miniature,"112,5,Virginius",Long robes and hats,Canopied throne
49,47r,98,,Decorated initial beneath miniature,"44,king",,Wheel,"Grass ground, trees, hilly landscape",Stone building on hill in the distance,"gilt frame around miniature, partial foliate border around columns of text"
50,47v,106,,Decorated initial beneath miniature,101,"Crown and sleeveless robe, nude figure","Wooden tub, knife, sword",,"Interior scene with paned windows, arched doorway, tiled floor, architectural surround with ogee arch and tracery decoration","gilt frame around miniature, partial foliate border around columns of text"
51,49r,108,,Decorated initial beneath miniature,80,Crown and sleeveless robe,,Grass ground and leafy trees,Wall,"gilt frame around miniature, partial foliate border around columns of text"
52,49v,110,,Decorated initial beneath miniature,22,White undergarment,"Pire with kindling and flame, rain",Grass ground and leafy trees,Crenelated and turreted buildings in the distance,"Arched gilt frame around miniature, partial foliate border around columns of text"
53,50v,111,,Decorated initial beneath miniature,"14,72","Plate armor, helmets, crowns","Horses, spears, sword, tents",Hilly landscape,,"Arched gilt frame around miniature, partial foliate border around columns of text"
54,54v,116,,Decorated initial beneath miniature,"2,3","Long robe and short doublet, cylindrical caps",,"Grass ground, leafy bushes, trees",,"gilt frame around miniature, partial foliate border around columns of text"
55,62v,124,,Decorated initial beneath miniature,"57,Jalous' wife","Gown with v-neck collar and hood, long robe and hat",,,"Interior scene with tiled floor, paned windows, tracery decoration, arched surround"
56,63v,126,,Decorated initial beneath miniature,"71,male figures",Blue gown with v-neck,"Canopied bed, sword",,Interior scene with architectural surround that includes two medallions
57,72v,143,,Decorated initial beneath miniature,"2,97,Richece's lover","Short doublet and caps, patterned gown and cap",Fountain,"Grass ground, path, trees",Angled walls,"gilt frame around miniature, partial foliate border around columns of text"
58,73v,144,,Decorated initial beneath miniature,"2,97,40",Torn gray tunic,,"Grass ground, trees",Angled walls,"gilt frame around miniature, partial foliate border around columns of text"
59,74v,146,,Decorated initial beneath miniature,"2,4","Short doublets and hose, mantle and crown",Arrow,"Grass ground, trees, path",Angled walls,This miniature is without its gilt frame
60,75v,150,,Decorated initial beneath miniature,"2,8,41","Monk's habit, nun's white wimple and veil, short doublet and hose, mantle and crown","Arrow, walking stick, rosary beads, book","Grass ground, trees, hill in distance, arched trellis",,This miniature is without its gilt frame
61,76r,152,,Decorated initial beneath miniature,"4,barons","Short doublet and hose, mantle and crown",Arrow,"Grass ground, trees, hill in distance, arched trellis",,This miniature is without its gilt frame
62,79r,161,,Champie initial,"4,41","Monk's habit, short doublet and hose, mantle and crown",Crown,"Grass ground, trees, hill in distance, arched trellis",,This miniature is without its gilt frame
63,79v,157,,,"4,41"
64,87r,163,,,"41,18","Monk's habit, nun's white wimple and veil","Walking stick, rosary beads, book","Grass ground, trees and bushes, hill in distance",Crenelated walls,This miniature is without its gilt frame
65,89v,,,,"41,74",Long robes,Chair,Hill with trees in the distance,"Tiles floor, wall with tracery decoration and pattern in gilt"
66,91r,170,,,"11,109",Gown,,"Grass ground, trees, water, mote, wattle fence, roses","Crenelated wall, tower"
67,92v,170,,,"11,109",Gown and hood,,"Grass ground, trees, water, mote, wattle fence, roses","Crenelated wall, tower",This miniature is without its gilt frame
68,95r,175,,,35,Blue gown and crown,Sword ,Grass ground through doorway,"Interior scene with tiled floor, paned windows, arched doorway",The miniature is without its gilt frame
69,105r,,,,"2,11","Short doublet and hose, long robe, caps",,"Grass ground, trees and bushes, river",Castle in the distance,The miniature is without its gilt frame
70,107v,197,,Champie initial,"4,soldiers","Doublets and hose, plate armor, crown and helmets","Arrow, spear, shield, crossbows","Grass ground, trees, hill in the distance, roses","Crenelated castle walls, tower",The miniature is without its gilt frame
71,108v,198,,Champie initial,"45,26",Long tunic above plate armor,"Club, spears, shield",Grass ground,Crenelated castle walls,The miniature is without its gilt frame
72,117v,229,,Champie initial,"79,48",red gown,"Altar, altarcloth, column, high-backed chair",,Interior scene with paned windows and tiled floor,The miniature is without its gilt frame
73,135r,263,,Champie initial,"4,48","Sleeveless outer garment over doublet and hose, bishop's mitre","Wooden platform, high-backed chair","Hilly landscape, grass ground, leafy bushes",,The miniature is without its gilt frame
74,143r,272,,,"108,54,89",Belted gown and henin,Bow and arrow,"Grass ground, trees, path",,The miniature is without its gilt frame
75,143v,274,,,"92,Galatea",Long robe and hat,"Statue, pedestal",,"Interior scene with paned windows, column, doorway",The miniature is without a gilt frame
76,151r,95,,,60,Long robe and hat,"Writing table, bookshelf, scroll, book",Grass ground and trees seen through window,"Interior scene with tiled floor, doorway, large window separated by columns","Arched, architectural frame"
